Welcome to Virtual Labs - A MHRD Govt of india Initiative	आभासी प्रयोगशालाओं (वर्चुअल लैब्स) में आपका स्वागत है- एमएचआरडी भारत सरकार की एक पहल 
Toggle navigation	टॉगल से संचालित करना, टॉगल नेविगेशन(कंप्यूटर पर ढूढ़ना) 
HOME	होम 
ALL LABS	सभी प्रयोगशालाएँ (लैब्स) 
PARTNERS	भागीदार 
CONTACT	संपर्क करें 
Chemical Sciences →Physical Chemistry Lab →List Of Experiments	रासायनिक विज्ञान → भौतिक रसायन विज्ञान प्रयोगशाला → प्रयोगों की सूची 
Introduction Theory Objective Experiment Manual Quizzes Further Readings Feedback	भूमिका, सिद्धांत,उद्देश्य, प्रयोग, नियमावली (मैनुअल), क्विज़, आगे के पाठ्यांक, प्रतिक्रिया 
Instrumentation and Working Principles of Infra Red (IR) Spectroscopy Using Salt Plates.	नमक प्लेटों का उपयोग करके इन्फ्रा रेड (आईआर) स्पेक्ट्रोस्कोपी के इंस्ट्रूमेंटेशन और वर्किंग प्रिंसिपल।
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	जब दो परमाणु एक स्थिर सहसंयोजक अणु बनाने के लिए संयोजित होते हैं, तो दो हेटरो परमाणुओं के बीच दो प्रतिकर्षण बल कार्य करते हैं। दोनों परमाणुओं के सकारात्मक रूप से चार्ज नाभिक के बीच और दूसरा नकारात्मक इलेक्ट्रॉन बादलों के बीच। अन्य बल एक परमाणु के नाभिक के बीच का आकर्षण है, दूसरे परमाणु के इलेक्ट्रान के साथ। उन दोनों के बीच बलों को संतुलित करते हुए, दो परमाणु एक आंतरिक दूरी या बांड की लंबाई पर व्यवस्थित होते हैं जहां सिस्टम की कुल ऊर्जा न्यूनतम होती है। किसी भी परिवर्तन जैसे परमाणुओं को खींचना या उन्हें निचोड़ना बांड की लंबाई में परिवर्तन लाता है जिसके लिए ऊर्जा के इनपुट की आवश्यकता होती है।
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	उपरोक्त विवरण के साथ एक डायटोमिक अणु को दो हिलने वाले द्रव्यमान के रूप में माना जाता है जो एक वसंत से जुड़े होते हैं। न्यूनतम ऊर्जा पर परमाणुओं के बीच की आंतरिक दूरी को संतुलन दूरी (पुनः) के रूप में संदर्भित किया जाता है। इस दूरी में कोई भी परिवर्तन हूक के नियम द्वारा दिया गया है:
f = -k(r-re)	f = -k(r-re)
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	जहां f रिस्टोरिंग फोर्स है और r बॉन्ड लेंथ है। पैरोबोलिक होने के लिए ऊर्जा वक्र से संबंधित ऊर्जा निम्नानुसार है:
E= 1/2k(r-re)2	E= 1/2k(r-re)2
Figure 2: Vibrational energy levels and allowed transitions between them for a diatomic molecule in a simple harmonic motion.	चित्र 2: कंपन ऊर्जा का स्तर और उनके बीच एक सरल हार्मोनिक गति में एक डायटोमिक अणु के लिए संक्रमण की अनुमति है।
Picture source: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm	चित्र स्रोत: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm
For any haormonic oscillator, when the bond vibrates, its enrgy of vibration is changing continually and periodically from kinetic to potential enrgy and back again. The total energy is proportional to the frequency of vibration, and is given as:	किसी भी हॉरमोनिक ऑसिलेटर के लिए, जब बॉन्ड वाइब्रेट होता है, तो वाइब्रेशन की अपनी ऊर्जा लगातार और समय-समय पर काइनेटिक से संभावित एनर्जी और फिर से वापस बदलती रहती है। कुल ऊर्जा कंपन की आवृत्ति के लिए आनुपातिक है, और निम्नानुसार दिया गया है:
Eosc = hνosc	Eosc = hνosc
The elastic nature of the bond has an intrinsic vibrational frequency which is determined by the force constant K of the spring or its stiffness, the masses of the bonded atoms.	बांड की लोचदार प्रकृति में एक आंतरिक कंपन आवृत्ति होती है जो वसंत के बल K के स्थिर या इसकी कठोरता से निर्धारित होती है, बंधी हुई परमाणुओं की जनता।
where c is the speed of light, and μ is the reduced mass of the system which is given by:	जहाँ c प्रकाश की गति है, और μ सिस्टम का घटा हुआ द्रव्यमान है जो निम्न द्वारा दिया जाता है:
μ = m1m2/m1 + m2 	μ = m1m2/m1 + m2
