Physical Chemistry Lab	भौतिकी रसायन विज्ञान प्रयोगशाला 
Principles of Electron Paramagnetic Resonance Spectroscopy	इलेक्ट्रॉन पैरामैग्नेटिक अनुकम्पन (रेजोनेंस) स्पेक्ट्रोस्कोपी के सिद्धांत 
Introduction	परिचय 
Instrumentation and Working Principles of Infra Red (IR) Spectroscopy Using Salt Plates.	नमक प्लेटों का उपयोग करते हुए इन्फ्रा रेड (आईआर) स्पेक्ट्रोस्कोपी के उपकरण एवं कार्य सिद्धांत। 
Infrared region lies between the visible and microwave regions of the electromagnetic spectrum and works mostly based on absorption spectroscopy. The infrared portion of the electromagnetic spectrum is usually divided into three regions; the near or higher energy IR, mid IR and far or low energy infrared. The mid-infrared which is (4000 - 400 cm-1 ) gives the fundamental vibrations and associated rotational-vibrational structure of the substance under study. Infrared spectroscopy is an absorption of infrared radiation by the molecules and is used to elucidate the structure of the molecule by identifying their functional groups. One of the common laboratory instruments that use this technique is a Fourier transform infrared (FTIR) spectrometer.	अवरक्त (इंफ्रारेड) क्षेत्र (इलेक्ट्रोमैग्नेटिक) विद्युत चुम्बकीय स्पेक्ट्रम के दृश्य और माइक्रोवेव क्षेत्रों के बीच स्थित है और ज्यादातर अवशोषण स्पेक्ट्रोस्कोपी पर आधारित है। विद्युत चुम्बकीय स्पेक्ट्रम का अवरक्त (इंफ्रारेड) भाग आमतौर पर तीन क्षेत्रों में विभाजित होता है; निकट या उच्च ऊर्जा आईआर, मध्य आईआर और दूर या कम ऊर्जा अवरक्त। मध्य-अवरक्त जो (4000-400 cm-1) अध्ययन के तहत पदार्थ के मौलिक कंपन और संबंधित घूर्णी-कंपन संरचना देता है। इन्फ्रारेड स्पेक्ट्रोस्कोपी अणुओं द्वारा अवरक्त विकिरण का अवशोषण है और उनके कार्यात्मक समूहों की पहचान करके अणु की संरचना को स्पष्ट करने के लिए उपयोग किया जाता है। इस तकनीक का उपयोग करने वाले आम प्रयोगशाला उपकरणों में से एक फूरियर ट्रांसफॉर्म इंफ्रारेड (FTIR) स्पेक्ट्रोमीटर है। 
Figure 1: Energy levels of molecules.	चित्र 1: अणुओं का ऊर्जा स्तर। 
Picture source: http://www.wag.caltech.edu/home/jang/genchem/infrared.htm	चित्र स्रोत: http://www.wag.caltech.edu/home/jang/genchem/infrared.htm 
Theory	सिद्धांत
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	जब दो परमाणु एक स्थिर सहसंयोजक अणु बनाने के लिए संयोजित होते हैं, तो दो हेटरो परमाणुओं के बीच दो प्रतिकर्षण बल कार्य करते हैं। दोनों परमाणुओं के सकारात्मक रूप से चार्ज नाभिक के बीच और दूसरा नकारात्मक इलेक्ट्रॉन बादलों के बीच। अन्य बल एक परमाणु के नाभिक के बीच का आकर्षण है, दूसरे परमाणु के इलेक्ट्रान के साथ। उन दोनों के बीच बलों को संतुलित करते हुए, दो परमाणु एक आंतरिक दूरी या बांड की लंबाई पर व्यवस्थित होते हैं जहां सिस्टम की कुल ऊर्जा न्यूनतम होती है। किसी भी परिवर्तन जैसे परमाणुओं को खींचना या उन्हें निचोड़ना बांड की लंबाई में परिवर्तन लाता है जिसके लिए ऊर्जा के इनपुट की आवश्यकता होती है।
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	उपरोक्त विवरण के साथ एक डायटोमिक अणु को दो हिलने वाले द्रव्यमान के रूप में माना जाता है जो एक वसंत से जुड़े होते हैं। न्यूनतम ऊर्जा पर परमाणुओं के बीच की आंतरिक दूरी को संतुलन दूरी (पुनः) के रूप में संदर्भित किया जाता है। इस दूरी में कोई भी परिवर्तन हूक के नियम द्वारा दिया गया है:
f = -k(r-re)	f = -k(r-re)
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	जहां f रिस्टोरिंग फोर्स है और r बॉन्ड लेंथ है। पैरोबोलिक होने के लिए ऊर्जा वक्र से संबंधित ऊर्जा निम्नानुसार है:
E= 1/2k(r-re)2	E= 1/2k(r-re)2
Figure 2: Vibrational energy levels and allowed transitions between them for a diatomic molecule in a simple harmonic motion.	चित्र 2: कंपन ऊर्जा का स्तर और उनके बीच एक सरल हार्मोनिक गति में एक डायटोमिक अणु के लिए संक्रमण की अनुमति है।
Picture source: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm	चित्र स्रोत: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm
For any haormonic oscillator, when the bond vibrates, its enrgy of vibration is changing continually and periodically from kinetic to potential enrgy and back again. The total energy is proportional to the frequency of vibration, and is given as:	किसी भी हॉरमोनिक ऑसिलेटर के लिए, जब बॉन्ड वाइब्रेट होता है, तो वाइब्रेशन की अपनी ऊर्जा लगातार और समय-समय पर काइनेटिक से संभावित एनर्जी और फिर से वापस बदलती रहती है। कुल ऊर्जा कंपन की आवृत्ति के लिए आनुपातिक है, और निम्नानुसार दिया गया है:
Eosc = hνosc	Eosc = hνosc
The elastic nature of the bond has an intrinsic vibrational frequency which is determined by the force constant K of the spring or its stiffness, the masses of the bonded atoms.	बांड की लोचदार प्रकृति में एक आंतरिक कंपन आवृत्ति होती है जो वसंत के बल K के स्थिर या इसकी कठोरता से निर्धारित होती है, बंधी हुई परमाणुओं की जनता।
where c is the speed of light, and μ is the reduced mass of the system which is given by:	जहाँ c प्रकाश की गति है, और μ सिस्टम का घटा हुआ द्रव्यमान है जो निम्न द्वारा दिया जाता है:
μ = m1m2/m1 + m2 	μ = m1m2/m1 + m2
The value of the force constant varies from bond to bond. K for a triple bond is three times those of a single bond and for a double bond it is twice those of a single bond. There are two significant features that can be drawn:	बल स्थिरांक का मान बंधन से भिन्न होता है। ट्रिपल बॉन्ड के लिए K एक सिंगल बॉन्ड के तीन गुना होता है और एक डबल बॉन्ड के लिए यह सिंगल बॉन्ड का दोगुना होता है। खींची जा सकने वाली दो महत्वपूर्ण विशेषताएं हैं:
1. Strong bonds have large force constants and vibrate at a higher frequency than the weaker bonds.	1. मजबूत बॉन्ड में बड़े बल स्थिरांक होते हैं और कमजोर बॉन्ड की तुलना में उच्च आवृत्ति पर कंपन होते हैं।
2. Bonds between the heavy atoms (larger reduced mass) vibrate at a lower frequency than that of bonds between the lighter atoms.	2. भारी परमाणुओं (बड़े कम द्रव्यमान) के बीच के बांड, हल्के परमाणुओं के बीच बांड की तुलना में कम आवृत्ति पर कंपन करते हैं।
Figure 3: Vibrational modes of an organic molecule.The energy of molecular vibration is quantised. A molecule can only stretch and bend at certain allowed frequencies.	चित्र 3: एक कार्बनिक अणु के कंपन मोड। आणविक कंपन की ऊर्जा मात्रा है। एक अणु केवल कुछ निश्चित आवृत्तियों पर खिंचाव और झुक सकता है।
Picture source: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_Structure_Determination_I/Section_4.2%3A__Infrared_spectroscopy	चित्र स्रोत: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_ructure_Determination_I/Section_4.2%3A__Infrared_spectroscopy
