Welcome to Virtual Labs - A MHRD Govt of india Initiative	एमएचआरडी भारत सरकार की एक पहल-आभासी प्रयोगशालाओं (वर्चुअल लैब्स) में आपका स्वागत है- 
Toggle navigation	टॉगल से संचालित करना, टॉगल नेविगेशन(कंप्यूटर पर ढूढ़ना) 
HOME	गृह (होम) 
ALL LABS	सभी प्रयोगशालाएँ 
PARTNERS	भागीदार 
CONTACT	संपर्क करें 
Chemical Sciences →Physical Chemistry Lab →List Of Experiments	रासायनिक विज्ञान → भौतिकी रसायन विज्ञान प्रयोगशाला → प्रयोगों की सूची 
Introduction Theory Objective Experiment Manual Quizzes Further Readings Feedback	भूमिका, सिद्धांत,उद्देश्य, प्रयोग, नियम पुस्तिका, प्रश्नोत्तरी, और अधिक जानकारी, प्रतिक्रिया 
Instrumentation and Working Principles of Solutions Infra Red (IR) Spectroscopy	विलयन इंफ्रा रेड (आईआर) स्पेक्ट्रोस्कोपी के उपकरण एवं कार्यकारी सिद्धांत 
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	जब दो परमाणु, एक स्थिर सहसंयोजक अणु बनाने के लिए संयुक्त होते हैं, तो दो विषम परमाणुओं के बीच दो प्रतिकर्षण बल कार्य करते हैं। पहला, दोनों परमाणुओं के घनात्मक आवेशित नाभिकों के बीच और दूसरा, ऋणात्मक इलेक्ट्रॉन क्षेत्र के बीच। दूसरा बल, एक परमाणु के नाभिक और दूसरे परमाणु के इलेक्ट्रान के बीच का आकर्षण बल होता है। दोनों परमाणु अपने बीच के बलों को संतुलित करते हुए, उस एक औसत अंतरनाभकीय दूरी या आबंधन लंबाई पर व्यवस्थित हो जाते हैं जहां सम्पूर्ण प्रणाली की कुल ऊर्जा न्यूनतम होती है। परमाणुओं को दूर करने या उन्हें पास लाने जैसा कोई भी परिवर्तन, आबंधन लंबाई में बदलाव लाता है जिसके लिए ऊर्जा का होना आवश्यक होता है। 
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	उपरोक्त कथन के अनुसार एक द्विपरमाणुक अणु, दो कम्पनकारी द्रव्यमानों के रूप में माना जाता है जो एक स्प्रिंग से जुड़े होते हैं। न्यूनतम ऊर्जा पर परमाणुओं के बीच की अंतरनाभकीय लंबाई को साम्यावस्था लंबाई (री) के रूप में निर्दिष्ट किया जाता है। इस लंबाई में कोई भी परिवर्तन, हूक के नियम द्वारा इस प्रकार दिया गया है: 
f = -k(r-re)	f = -k (r-re) 
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	जहाँ f प्रत्यावर्तन बल है और r आबंधन लंबाई है। ऊर्जा वक्र के परवलयिक होने को ध्यान में रखते हुए, संबंधित ऊर्जा निम्नानुसार है: 
E= 1/2k(r-re)2	E = 1 / 2k (r-re) 2 
For any haormonic oscillator, when the bond vibrates, its enrgy of vibration is changing continually and periodically from kinetic to potential enrgy and back again. The total energy is proportional to the frequency of vibration, and is given as:	किसी भी अनुकंपी दोलक के लिए, जब आबंधन (बॉन्ड) कम्पन करता है, तो इसकी कम्पन ऊर्जा लगातार और समय-समय पर गतिक ऊर्जा से स्थितिज ऊर्जा और फिर से वापस गतिक ऊर्जा में बदलती रहती है। कुल ऊर्जा, कंपन की आवृत्ति के आनुपातिक होती है, और निम्नानुसार दिखाई गयी है: 
Eosc = hνosc	Eosc = hνosc 
The elastic nature of the bond has an intrinsic vibrational frequency which is determined by the force constant K of the spring or its stiffness, the masses of the bonded atoms.	आबंधन(बॉन्ड)की, स्थिति के अनुरूप ढलने वाली प्रकृति में एक आंतरिक कंपन आवृत्ति होती है जिसे स्प्रिंग या उसके कड़ेपन जो कि आबंधित परमाणुओं के द्रव्यमान के कारण होता है, के बल स्थिरांक K द्वारा निर्धारित किया जाता है। 
where c is the speed of light, and μ is the reduced mass of the system which is given by:	जहाँ c प्रकाश की गति है, और μ सिस्टम का घटा हुआ द्रव्यमान है जो इस प्रकार है: 
μ = m1m2/m1 + m2	μ = m1m2 / m1 + m2 
The value of the force constant varies from bond to bond. K for a triple bond is three times those of a single bond and for a double bond it is twice those of a single bond. There are two significant features that can be drawn:	हर एक आबंधन के बल स्थिरांक का मान दूसरे के मान से भिन्न होता है। तिगुने आबंधन के लिए K, एक अकेले आबंधन से तीन गुना होता है और एक दुगुने आबंधन के लिए यह, अकेले आबंधन का दुगुना होता है। यहाँ दो महत्वपूर्ण विशेषताएं हैं जिनका कि उल्लेख किया जा सकता है: 
1. Strong bonds have large force constants and vibrate at a higher frequency than the weaker bonds.	1. कमजोर आबंधन की तुलना में, मजबूत आबंधन में ज्यादा बल स्थिरांक होते हैं और उच्चतर आवृत्ति पर कंपित होते हैं। 
