Physical Chemistry Lab	भौतिक रसायन विज्ञान प्रयोगशाला
Simple Pendulum	सरल लोकल (पेंडुलम)
Introduction	भूमिका
In this module, basic concepts of simple oscillator are explained. Initially, an example of simple pendulum is taken and the basic terminology i.e., what is initial displacement, initial velocity,natural frequency and time period are explained. Each of these terms is illustrated by giving an example, where user can enter his value and observe the behavior of structure for his input.	इस भाग में, सरल दोलक(ऑसिलेटर) की मूल अवधारणाओं को समझाया गया है।
Simple harmonic oscillator consists of a mass (m) hanging from a string of length (l), fixed at a pivot point P. When the mass is displaced from its mean position by giving some initial displacement (angle), oscillator starts swinging back and fourth with periodic motion.	प्रारंभ में, सरल लोकल (पेंडुलम) का उदाहरण लिया जाता है और मूल शब्दावली यानी प्रारंभिक विस्थापन, प्रारंभिक वेग, प्राकृतिक आवृत्ति और समय अवधि क्या है, यह बताया जाता है।
Theory	प्रत्येक शब्दावली को एक उदाहरण देकर सचित्रित किया गया है, जहां उपयोगकर्ता अपने परिमाण प्रविष्ट कर सकता है और फिर अपने इनपुट की संरचना के व्यवहार का निरीक्षण कर सकता है।
There are two solutions to \(ax^2 + bx + c = 0\) and they are $$x = {-b \pm \sqrt{b^2-4ac} \over 2a}.$$ By applying Newton's second law for rotational systems, the equation of motion for the pendulum may be obtained.	सरल हार्मोनिक दोलक(ऑसिलेटर) में लंबाई (l)की तार(स्ट्रिंग)से लटका हुआ एक द्रव्यमान (m) होता है, जो एक धुरी बिंदु P पर स्थिर है।
Where, τ = Torque ; I = Moment of Inertia; α = Angular Velocity. m is mass of the oscillator, l is the length of the oscillator and theta is initial displacement. The above equation can be rearranged as	जब द्रव्यमान को कुछ प्रारंभिक विस्थापन (कोण) देकर अपनी स्थिति से विस्थापित किया जाता है, तो दोलक(ऑसिलेटर) आवधिक गति से आगे-पीछे झूलने लगता है।
If the amplitude of angular displacement is small then we can use the approximation (sinθ ≈ θ). By considering the above approximation, the equation of motion reduces to :	सिद्धांत
The solution for equation of simple harmonic oscillator is	\ (ax^ 2+bx + c = 0 \) के दो समाधान हैं और वे हैं $$ x = {-b \ pm \ sqrt {b ^ 2-4ac} \ over 2a} हैं। $$
where, θ(t) is the history of oscillation, θ0 is the initial angle, ω=(g/l)1/2 is the natural frequency of the motion.	घूर्णी प्रणाली(रोटेशनल सिस्टम्स) के न्यूटन के दूसरे नियम का उपयोग करके पेंडुलम के लिए गति का समीकरण प्राप्त किया जा सकता है।
Objective	जहां, τ = टॉर्क; I =जड़त्व का आघूर्ण ; α =कोणीय वेग. m दोलक(ऑसिलेटर) का द्रव्यमान है, l दोलक(ऑसिलेटर) की लंबाई है और थीटा प्रारंभिक विस्थापन है।
Objective of simple harmonic oscillator experiment is to understand the concept of time period (natural frequency) in harmonic oscillations .	उपरोक्त समीकरण को इस तरह फिर से व्यवस्थित किया जा सकता है अगर आयाम का कोणीय विस्थापन छोटा है तो हम सन्निकटन (sinθ ≈ θ) का उपयोग कर सकते हैं।
