Physical Chemistry Lab	భౌతిక రసాయన శాస్త్ర ప్రయోగశాల 
Nuclear Magnetic Resosnace Spectrocopy and Evaulation of Simple 1H NMR Spectra of Select Organic Compounds	అణు అయస్కాంత ప్రతిధ్వని స్పెక్ట్రోస్కోపీ మరియు ఎంచుకున్న సేంద్రీయ సమ్మేళనాల 1 హెచ్ ఎన్ఎమ్ఆర్ వర్ణపటన్ని నిర్ధారించుట 
Introduction	పరిచయం 
Nuclear Magnetic Resonance (NMR) spectroscopy is one of the powerful analytical techniques used in determining the structure of organic compounds. Isotopes of 1H, 13C, 19F and 31P have I = ½ and of great interest. 1H NMR or the proton NMR is the technique in which the hydrogen nuclei of the compound/substance is studied in order to determine the structure of the compound under study. The two most characteristic of a NMR spectra are the chemical shift and the coupling constant. This experiment deals with virtually recording the proton NMR spectra for a set of samples and analyzing them.	సేంద్రీయ సమ్మేళనాల నిర్మాణాన్ని నిర్ణయించడానికి ఉపయోగించే శక్తివంతమైన విశ్లేషణాత్మక పద్ధతుల్లో అణు అయస్కాంత ప్రతిధ్వని (ఎన్ఎమ్ఆర్) స్పెక్ట్రోస్కోపీ ఒకటి. 1H, 13C, 19F మరియు 31P యొక్క ఐసోటోపులు I = ½ మరియు గొప్ప ఆసక్తిని కలిగి ఉంటాయి. 1H NMR లేదా ప్రోటాన్ NMR అనేది అధ్యయనం కింద ఉన్న సమ్మేళనం యొక్క నిర్మాణాన్ని నిర్ణయించడానికి సమ్మేళనం / పదార్ధం యొక్క హైడ్రోజన్ కేంద్రకాలను అధ్యయనం చేసే పద్దతి. కెమికల్ షిప్ట్ మరియు జత స్థిరాంకం NMR స్పెక్ట్రా యొక్క రెండు లక్షణాలు. ఈ ప్రయోగం ద్వారా కొన్ని రకాల నమూనాల యెుక్క ప్రోటాన్ ఎన్ఎమ్ఆర్ స్పెక్ట్రాను వర్చువల్ రికార్డ్ చేయడం మరియు వాటిని విశ్లేషించడం జరుగుతుంది. 
Theory	సిద్ధాంతం 
Nuclei with odd atomic (number of protons) or mass number (total number of protons and neutrons) or both have quantized spin angular momentum and a magnetic moment. Interaction of the magnetic moment of an atomic nucleus (µ) with an external magnetic field results in absorption of energy and change their spin orientation with respect to the external field. NMR gives the chemical properties of molecules by studying the magnetic properties of the atomic nuclei which is measured by resonant absorption by nuclei.	బేసి అణు (ప్రోటాన్ల సంఖ్య) లేదా ద్రవ్యరాశి సంఖ్య (మొత్తం ప్రోటాన్లు మరియు న్యూట్రాన్ల సంఖ్య) లేదా రెండూ పరిమాణ స్పిన్ కోణీయ ద్రవ్యవేగం మరియు అయస్కాంత భ్రామకం కలిగి ఉంటాయి. బాహ్య అయస్కాంత క్షేత్రంతో పరమాణు కేంద్రకం (µ) యొక్క అయస్కాంత భ్రామకం పరస్పర చర్య జరిగినప్పుడు శక్తిని గ్రహిస్తుంది మరియు వాటి భ్రమణంలో మార్పు వస్తుంది. అణు కేంద్రకాల యొక్క అయస్కాంత లక్షణాలను అధ్యయనం చేయడం ద్వారా అణువుల యొక్క రసాయన లక్షణాలను NMR ఇస్తుంది, ఇది కేంద్రకాల ద్వారా ప్రతిధ్వనించే శోషణ ద్వారా కొలుస్తారు. 
The nuclear spin energy levels in an external magnetic field B0.	బాహ్య అయస్కాంత క్షేత్రం B0 లో అణు ఆత్మ భ్రమణ శక్తి స్థాయిలు. 
Source: http://www.physicscentral.com/explore/action/fmri1.cfm	మూలం: http://www.physicscentral.com/explore/action/fmri1.cfm 
Chemical Shift:	కెమికల్ షిఫ్ట్: 
Nuclei in a different chemical environment experience different magnetic field. The electron cloud around the nuclei induces electronic angular momentum which gives rise to an additional magnetic field ß, which is given as:	వేర్వేరు రసాయన వాతావరణంలో న్యూక్లియైలు వేర్వేరు అయస్కాంత క్షేత్రాన్ని కలిగి ఉంటాయి. న్యూక్లియీల చుట్టూ ఉన్న ఎలక్ట్రాన్ మేఘం ఎలక్ట్రానిక్ కోణీయ ద్రవ్యవేగంను ప్రేరేపిస్తుంది, ఇది అదనపు అయస్కాంత క్షేత్రానికి దారితీస్తుంది ß, ఇది ఇలా ఇవ్వబడింది: 
δß = -σß0	δß = -σß0 
