Welcome to Virtual Labs - A MHRD Govt of india Initiative	వర్చువల్ ల్యాబ్స్‌కు స్వాగతం - భారత ఇనిషియేటివ్ యొక్క MHRD ప్రభుత్వం
Toggle navigation	నావిగేషన్‌ను టోగుల్ చేయండి
HOME	హోం
ALL LABS	అన్ని ల్యాబ్‌లు
PARTNERS	PARTNERS
CONTACT	సంప్రదించండి
Chemical Sciences →Physical Chemistry Lab →List Of Experiments	కెమికల్ సైన్సెస్ → ఫిజికల్ కెమిస్ట్రీ ల్యాబ్ Experi ప్రయోగాల జాబితా
Introduction Theory Objective Experiment Manual Quizzes Further Readings Feedback	ఇంట్రడక్షన్ థియరీ ఆబ్జెక్టివ్ ప్రయోగం మాన్యువల్ క్విజ్ మరింత రీడింగ్స్ ఫీడ్బ్యాక్
Instrumentation and Working Principles of Infra Red (IR) Spectroscopy Using Salt Plates.	ఉప్పు పలకలను ఉపయోగించి ఇన్ఫ్రా రెడ్ (ఐఆర్) స్పెక్ట్రోస్కోపీ యొక్క ఇన్స్ట్రుమెంటేషన్ మరియు వర్కింగ్ ప్రిన్సిపల్స్.
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	రెండు అణువులు కలిపి స్థిరమైన సమయోజనీయ అణువుగా ఏర్పడినప్పుడు, రెండు హేటెరో అణువుల మధ్య రెండు వికర్షణ శక్తులు పనిచేస్తాయి. ఒకటి అణువుల యొక్క ధనాత్మకంగా చార్జ్ చేయబడిన కేంద్రకాల మధ్య మరియు మరొకటి ప్రతికూల ఎలక్ట్రాన్ మేఘాల మధ్య. మరొక శక్తి ఒక అణువు యొక్క కేంద్రకం మధ్య మరొక అణువు యొక్క ఎలక్ట్రాన్లతో ఆకర్షణ. వాటి మధ్య శక్తులను సమతుల్యం చేస్తూ, రెండు అణువుల సగటు అంతర్గత దూరం లేదా వ్యవస్థ యొక్క మొత్తం శక్తి కనిష్టంగా ఉండే బంధం పొడవు వద్ద స్థిరపడుతుంది. అణువులను దూరంగా లాగడం లేదా వాటిని పిండడం వంటి ఏదైనా మార్పు బాండ్ పొడవులో మార్పును తెస్తుంది, దీనికి శక్తి యొక్క ఇన్పుట్ అవసరం.
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	పై వర్ణనతో ఒక డయాటోమిక్ అణువు వసంత ద్వారా అనుసంధానించబడిన రెండు వైబ్రేటింగ్ ద్రవ్యరాశిగా పరిగణించబడుతుంది. శక్తి కనిష్టంలో అణువుల మధ్య అంతర్గత దూరాన్ని సమతౌల్య దూరం (తిరిగి) గా సూచిస్తారు. ఈ దూరం లో ఏదైనా మార్పు హుక్ చట్టం ప్రకారం ఇవ్వబడుతుంది:
f = -k(r-re)	f = -k (r-re)
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	ఇక్కడ f అనేది పునరుద్ధరణ శక్తి మరియు r అనేది బంధం పొడవు. శక్తి వక్రతను పరోబోలిక్ అని భావించే శక్తి అనుబంధంగా ఇవ్వబడింది:
E= 1/2k(r-re)2	E = 1/2k (r-re) 2
Figure 2: Vibrational energy levels and allowed transitions between them for a diatomic molecule in a simple harmonic motion.	మూర్తి 2: కంపన శక్తి స్థాయిలు మరియు సరళమైన హార్మోనిక్ కదలికలో డయాటోమిక్ అణువు కోసం వాటి మధ్య పరివర్తనలను అనుమతించడం.
Picture source: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm	చిత్ర మూలం: http://condensedconcepts.blogspot.in/2011/10/concrete-test-of-morse-potential-in.htm
For any haormonic oscillator, when the bond vibrates, its enrgy of vibration is changing continually and periodically from kinetic to potential enrgy and back again. The total energy is proportional to the frequency of vibration, and is given as:	ఏదైనా హార్మోనిక్ ఓసిలేటర్ కోసం, బంధం కంపించేటప్పుడు, దాని కంపనం యొక్క శక్తి నిరంతరం మరియు క్రమానుగతంగా గతి నుండి సంభావ్య శక్తికి మారుతుంది మరియు తిరిగి వస్తుంది. మొత్తం శక్తి కంపనం యొక్క ఫ్రీక్వెన్సీకి అనులోమానుపాతంలో ఉంటుంది మరియు ఇది ఇలా ఇవ్వబడుతుంది:
Eosc = hνosc	Eosc = hνosc
The elastic nature of the bond has an intrinsic vibrational frequency which is determined by the force constant K of the spring or its stiffness, the masses of the bonded atoms.	బంధం యొక్క స్థితిస్థాపక స్వభావం అంతర్గత వైబ్రేషనల్ ఫ్రీక్వెన్సీని కలిగి ఉంటుంది, ఇది వసంత శక్తి యొక్క స్థిరమైన K లేదా దాని దృ ff త్వం, బంధిత అణువుల ద్రవ్యరాశి ద్వారా నిర్ణయించబడుతుంది.
where c is the speed of light, and μ is the reduced mass of the system which is given by:	ఇక్కడ c అనేది కాంతి వేగం, మరియు by అనేది వ్యవస్థ యొక్క తగ్గిన ద్రవ్యరాశి:
μ = m1m2/m1 + m2	μ = m1m2 / m1 + m2
The value of the force constant varies from bond to bond. K for a triple bond is three times those of a single bond and for a double bond it is twice those of a single bond. There are two significant features that can be drawn:	శక్తి స్థిరాంకం యొక్క విలువ బంధం నుండి బంధానికి మారుతుంది. ట్రిపుల్ బాండ్ కోసం K అనేది ఒకే బంధం కంటే మూడు రెట్లు మరియు డబుల్ బాండ్ కోసం ఇది ఒకే బంధం కంటే రెండు రెట్లు ఎక్కువ. రెండు ముఖ్యమైన లక్షణాలు గీయవచ్చు:
1. Strong bonds have large force constants and vibrate at a higher frequency than the weaker bonds.	1. బలమైన బంధాలు పెద్ద శక్తి స్థిరాంకాలను కలిగి ఉంటాయి మరియు బలహీనమైన బంధాల కంటే ఎక్కువ పౌన frequency పున్యంలో వైబ్రేట్ అవుతాయి.
2. Bonds between the heavy atoms (larger reduced mass) vibrate at a lower frequency than that of bonds between the lighter atoms.	2. భారీ అణువుల మధ్య బంధాలు (పెద్ద తగ్గిన ద్రవ్యరాశి) తేలికైన అణువుల మధ్య బంధాల కన్నా తక్కువ పౌన frequency పున్యంలో కంపిస్తాయి.
Figure 3: Vibrational modes of an organic molecule.The energy of molecular vibration is quantised. A molecule can only stretch and bend at certain allowed frequencies.	మూర్తి 3: సేంద్రీయ అణువు యొక్క వైబ్రేషనల్ మోడ్లు. పరమాణు కంపనం యొక్క శక్తి లెక్కించబడుతుంది. ఒక అణువు కొన్ని అనుమతించబడిన పౌన .పున్యాల వద్ద మాత్రమే సాగవచ్చు మరియు వంగి ఉంటుంది.
Picture source: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_Structure_Determination_I/Section_4.2%3A__Infrared_spectroscopy	చిత్ర మూలం: http://chemwiki.ucdavis.edu/Organic_Chemistry/Organic_Chemistry_With_a_Biological_Emphasis/Chapter__4%3A_Structure_Determination_I/Section_4.2%3A__Infrared_spectroscopy
Sample preparation for Infrared spectroscopy:	ఇన్ఫ్రారెడ్ స్పెక్ట్రోస్కోపీ కోసం నమూనా తయారీ:
The sample to be measured must be taken in a sample holder or cell which is made of ionic substance. Sodium chloride or potassium bromide plates are used. Potassium bromide plates are more expensive than sodium chloride but has an advantage over the sodium chloride because of the asbsorbs at 650cm-1. Glass or platics absorb strongly through the infrared region.	కొలవవలసిన నమూనాను అయానిక్ పదార్ధంతో తయారు చేసిన నమూనా హోల్డర్ లేదా కణంలో తీసుకోవాలి. సోడియం క్లోరైడ్ లేదా పొటాషియం బ్రోమైడ్ ప్లేట్లు వాడతారు. పొటాషియం బ్రోమైడ్ ప్లేట్లు సోడియం క్లోరైడ్ కన్నా ఖరీదైనవి, అయితే 650 సెం.మీ -1 వద్ద అస్సార్బ్స్ ఉన్నందున సోడియం క్లోరైడ్ కంటే ఎక్కువ ప్రయోజనం ఉంది. పరారుణ ప్రాంతం ద్వారా గాజు లేదా ప్లాటిక్స్ బలంగా గ్రహిస్తాయి.
Liquids: A drop of the liquid sample is placed between a pair of polished IR salt plates. The plates are pressed together and the sample forms a thin film between the salt plates. A spectrum obtained by this method is neat for there is no use of solvent in the sample preparation.	ద్రవాలు: పాలిష్ చేసిన IR ఉప్పు పలకల మధ్య ద్రవ నమూనా యొక్క చుక్క ఉంచబడుతుంది. ప్లేట్లు కలిసి నొక్కినప్పుడు మరియు నమూనా ఉప్పు పలకల మధ్య సన్నని ఫిల్మ్‌ను ఏర్పరుస్తుంది. నమూనా తయారీలో ద్రావకం యొక్క ఉపయోగం లేనందున ఈ పద్ధతి ద్వారా పొందిన స్పెక్ట్రం చక్కగా ఉంటుంది.
Solids: One of the methods used to prepare sample is the Bbr Pellet method. Where the sample is powdered along with KBr and pressed under high pressure to form a pellet.	ఘనపదార్థాలు: నమూనాను తయారు చేయడానికి ఉపయోగించే పద్ధతుల్లో ఒకటి Bbr Pellet పద్ధతి. KBr తో పాటు మాదిరిని పొడి చేసి, అధిక పీడనంతో నొక్కి గుళికను ఏర్పరుస్తుంది.
The other method is the Nujol method where the sample is ground along with few drops of mineral oil or nujol and the thick suspension is place between the salt plates.	ఇతర పద్ధతి నుజోల్ పద్ధతి, ఇక్కడ నమూనా కొన్ని చుక్కల మినరల్ ఆయిల్ లేదా నుజోల్ తో పాటుగా ఉంటుంది మరియు ఉప్పు పలకల మధ్య మందపాటి సస్పెన్షన్ ఉంటుంది.
Figure 4: IR salt plates (Sodium Chloride)	మూర్తి 4: ఐఆర్ ఉప్పు ప్లేట్లు (సోడియం క్లోరైడ్)
Picture source: http://www.sciencephoto.com/media/222708/view	చిత్ర మూలం: http://www.sciencephoto.com/media/222708/view
The Infrared Spectrometer:	పరారుణ స్పెక్ట్రోమీటర్:
The infrared spectrometer or the spectrophotometer is the instrument that determines the IR absorption spectra of a compound. There are two types of spectrometers that are widely used in laboratories.	ఇన్ఫ్రారెడ్ స్పెక్ట్రోమీటర్ లేదా స్పెక్ట్రోఫోటోమీటర్ అనేది సమ్మేళనం యొక్క IR శోషణ స్పెక్ట్రాను నిర్ణయించే పరికరం. ప్రయోగశాలలలో విస్తృతంగా ఉపయోగించే రెండు రకాల స్పెక్ట్రోమీటర్లు ఉన్నాయి.
a. Dispersive infrared spectrometers	ఒక. చెదరగొట్టే పరారుణ స్పెక్ట్రోమీటర్లు
b. Fourier-Transform spectrometers	బి. ఫోరియర్-ట్రాన్స్ఫార్మ్ స్పెక్ట్రోమీటర్లు
Figure4: The main components of a fourier transform infrared (FTIR) spectrophotometer.	మూర్తి 4: ఫోరియర్ ట్రాన్స్ఫార్మ్ ఇన్ఫ్రారెడ్ (ఎఫ్టిఐఆర్) స్పెక్ట్రోఫోటోమీటర్ యొక్క ప్రధాన భాగాలు.
Picture source: http://cnx.org/content/m34660/latest/?collection=col10699/latest	చిత్ర మూలం: http://cnx.org/content/m34660/latest/?collection=col10699/latest
