Physical Chemistry Lab	ఫిజికల్ కెమిస్ట్రీ ల్యాబ్
Principles of Electron Paramagnetic Resonance Spectroscopy	ఎలక్ట్రాన్ పారా అయస్కాంత ప్రతిధ్వని స్పెక్ట్రోస్కోపీ యొక్క సూత్రాలు
Introduction	పరిచయం
Instrumentation and Working Principles of Infra Red (IR) Spectroscopy Using Salt Plates.	ఉప్పు పలకలను ఉపయోగించి ఇన్ఫ్రా రెడ్ (ఐఆర్) స్పెక్ట్రోస్కోపీ యొక్క ఇన్స్ట్రుమెంటేషన్ మరియు వర్కింగ్ ప్రిన్సిపల్స్.
Infrared region lies between the visible and microwave regions of the electromagnetic spectrum and works mostly based on absorption spectroscopy. The infrared portion of the electromagnetic spectrum is usually divided into three regions; the near or higher energy IR, mid IR and far or low energy infrared. The mid-infrared which is (4000 - 400 cm-1 ) gives the fundamental vibrations and associated rotational-vibrational structure of the substance under study. Infrared spectroscopy is an absorption of infrared radiation by the molecules and is used to elucidate the structure of the molecule by identifying their functional groups. One of the common laboratory instruments that use this technique is a Fourier transform infrared (FTIR) spectrometer.	పరారుణ ప్రాంతం విద్యుదయస్కాంత స్పెక్ట్రం యొక్క కనిపించే మరియు మైక్రోవేవ్ ప్రాంతాల మధ్య ఉంటుంది మరియు ఎక్కువగా శోషణ స్పెక్ట్రోస్కోపీ ఆధారంగా పనిచేస్తుంది. విద్యుదయస్కాంత స్పెక్ట్రం యొక్క పరారుణ భాగాన్ని సాధారణంగా మూడు ప్రాంతాలుగా విభజించారు; సమీప లేదా అధిక శక్తి IR, మధ్య IR మరియు చాలా లేదా తక్కువ శక్తి పరారుణ. మిడ్-ఇన్ఫ్రారెడ్ (4000 - 400 సెం.మీ -1) అధ్యయనం కింద ఉన్న పదార్ధం యొక్క ప్రాథమిక కంపనాలు మరియు అనుబంధ భ్రమణ-కంపన నిర్మాణాన్ని ఇస్తుంది. ఇన్ఫ్రారెడ్ స్పెక్ట్రోస్కోపీ అనేది అణువుల ద్వారా పరారుణ వికిరణం యొక్క శోషణ మరియు వాటి క్రియాత్మక సమూహాలను గుర్తించడం ద్వారా అణువు యొక్క నిర్మాణాన్ని విశదీకరించడానికి ఉపయోగిస్తారు. ఈ పద్ధతిని ఉపయోగించే సాధారణ ప్రయోగశాల సాధనాల్లో ఒకటి ఫోరియర్ ట్రాన్స్ఫార్మ్ ఇన్ఫ్రారెడ్ (FTIR) స్పెక్ట్రోమీటర్.
Figure 1: Energy levels of molecules.	మూర్తి 1: అణువుల శక్తి స్థాయిలు.
Picture source: http://www.wag.caltech.edu/home/jang/genchem/infrared.htm	చిత్ర మూలం: http://www.wag.caltech.edu/home/jang/genchem/infrared.htm
Theory	థియరీ
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	రెండు అణువులు కలిపి స్థిరమైన సమయోజనీయ అణువుగా ఏర్పడినప్పుడు, రెండు హేటెరో అణువుల మధ్య రెండు వికర్షణ శక్తులు పనిచేస్తాయి. ఒకటి అణువుల యొక్క ధనాత్మకంగా చార్జ్ చేయబడిన కేంద్రకాల మధ్య మరియు మరొకటి ప్రతికూల ఎలక్ట్రాన్ మేఘాల మధ్య. మరొక శక్తి ఒక అణువు యొక్క కేంద్రకం మధ్య మరొక అణువు యొక్క ఎలక్ట్రాన్లతో ఆకర్షణ. వాటి మధ్య శక్తులను సమతుల్యం చేస్తూ, రెండు అణువుల సగటు అంతర్గత దూరం లేదా వ్యవస్థ యొక్క మొత్తం శక్తి కనిష్టంగా ఉండే బంధం పొడవు వద్ద స్థిరపడుతుంది. అణువులను దూరంగా లాగడం లేదా వాటిని పిండడం వంటి ఏదైనా మార్పు బాండ్ పొడవులో మార్పును తెస్తుంది, దీనికి శక్తి యొక్క ఇన్పుట్ అవసరం.
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	పై వర్ణనతో ఒక డయాటోమిక్ అణువు వసంత ద్వారా అనుసంధానించబడిన రెండు వైబ్రేటింగ్ ద్రవ్యరాశిగా పరిగణించబడుతుంది. శక్తి కనిష్టంలో అణువుల మధ్య అంతర్గత దూరాన్ని సమతౌల్య దూరం (తిరిగి) గా సూచిస్తారు. ఈ దూరం లో ఏదైనా మార్పు హుక్ చట్టం ప్రకారం ఇవ్వబడుతుంది:
f = -k(r-re)	f = -k (r-re)
