Welcome to Virtual Labs - A MHRD Govt of india Initiative	భారత ప్రభుత్వం చొరవతో, MHRD-వర్చువల్ ప్రయెాగశాలకు స్వాగతంే 
Toggle navigation	టోగుల్ నావిగేషన్‌ 
HOME	హోం 
ALL LABS	అన్ని ప్రయెాగశాలలు 
PARTNERS	భాగస్వాములు 
CONTACT	సంప్రదించండి 
Chemical Sciences →Physical Chemistry Lab →List Of Experiments	రసాయన శాస్త్రాలు → భౌతిక రసాయన శాస్త్ర ప్రయోగశాల → ప్రయోగాల జాబితా 
Introduction Theory Objective Experiment Manual Quizzes Further Readings Feedback	పరిచయం సిద్ధాంతం లక్ష్యం ప్రయోగం సంపుటి(మాన్యువల్) క్విజ్స్ ముందస్తు అవసరమైన సాఫ్ట్‌వేర్లు మరింత చదవల్సినవి అభిప్రాయాలు 
Instrumentation and Working Principles of Solutions Infra Red (IR) Spectroscopy	సొల్యూషన్స్ ఇన్ఫ్రారెడ్(IR) స్పెక్ట్రోస్కోపీ యెుక్క నిర్మాణం మరియు పని చేసే సూత్రాలు 
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	రెండు పరమాణువులు కలిపి స్థిరమైన సమయోజనీయ అణువుగా ఏర్పడినప్పుడు, రెండు హెటెరో అణువుల మధ్య రెండు వికర్షణ శక్తులు పనిచేస్తాయి. ఒకటి అణువుల యొక్క ధనాత్మకంగా చార్జ్ చేయబడిన కేంద్రకాల మధ్య మరియు మరొకటి ప్రతికూల ఎలక్ట్రాన్ మేఘాల మధ్య ఏర్పడుతాయి. ఒక అణువు యొక్క కేంద్రకం మరియు మరొక అణువులో ఎలక్ట్రాన్ల మధ్య ఆకర్షణ శక్తి కూడా ఉంటుంది. వాటి మధ్య శక్తులను సమతుల్యం చేస్తూ, రెండు అణువుల మొత్తం శక్తి కనిష్టంగా ఉండేట్టు సగటు అంతర్గత దూరం లేదా బంధదైర్ఘ్యం(బంధం పొడవు) వద్ద స్థిరపడుతాయి. అణువులను దూరంగా లాగడం లేదా దగ్గరగా లాగడం వంటి ఏదైనా మార్పు చేస్తే బాండ్ పొడవులో మార్పు వస్తుంది, దీనికి శక్తి అవసరం. 
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	పై వర్ణనతో ద్వంద్వఅణువులు స్ప్రింగ్ ద్వారా అనుసంధానించబడిన రెండు కంపించే ద్రవ్యరాశులుగా పరిగణించబడుతాయి. అతితక్కువ శక్తి ఉన్నప్పుడు అణువుల మధ్య అంతర్గత దూరాన్ని సమతౌల్య దూరంగా సూచిస్తారు. ఈ దూరం లో ఏదైనా మార్పు హుక్ నియమం ప్రకారం ఇవ్వబడుతుంది: 
