Physical Chemistry Lab	భౌతిక రసాయన శాస్త్రం ప్రయోగశాల 
Instrumentation and Working Principles of Solutions Infra Red (IR) Spectroscopy	ఇన్ఫ్రా రెడ్ (ఐఆర్) స్పెక్ట్రోస్కోపీ యొక్క ఇన్స్ట్రుమెంటేషన్ మరియు ద్రావణాల పని సూత్రాలు (వర్కింగ్ ప్రిన్సిపల్స్) 
Introduction	పరిచయం/ప్రవేశిక(ఇంట్రొడక్షన్) 
Infrared spectroscopy or IR spectroscopy is the technique that involves the infrared region of the electromagnetic spectrum. IR region lies between the visible and microwave regions and works mostly based on absorption spectroscopy. The infrared portion of the electromagnetic spectrum is usually divided into three regions; the near or higher energy IR (14000 - 4000 cm-1), mid IR (4000 - 400 cm-1 ) and far or low energy infrared (400 - 10 cm-1). The mid-infrared gives the fundamental vibrations and associated rotational-vibrational structure of the substance under study. Infrared spectroscopy is an absorption of infrared radiation by the molecules and is used to elucidate the structure of the molecule by identifying their functional groups. One of the common laboratory instruments that use this technique is a Fourier transform infrared (FTIR) spectrometer.	ఇన్ఫ్రారెడ్ స్పెక్ట్రోస్కోపీ లేదా ఐ ఆర్ స్పెక్ట్రోస్కోపీ అనేది విద్యుదయస్కాంత స్పెక్ట్రం యొక్క పరారుణ ప్రాంతాన్ని ఇమిడి ఉన్న సాంకేతికత. ఐ ఆర్ ప్రాంతం కనిపించే మరియు మైక్రోవేవ్ ప్రాంతాల మధ్య ఉంటుంది మరియు ఎక్కువగా శోషణ స్పెక్ట్రోస్కోపీ ఆధారంగా పనిచేస్తుంది. విద్యుదయస్కాంత స్పెక్ట్రం యొక్క పరారుణ భాగాన్ని సాధారణంగా మూడు ప్రాంతాలుగా విభజించారు; సమీప లేదా అధిక శక్తి ఐ ఆర్ (14000-4000 సెం.మీ -1), మధ్య ఐ ఆర్ (4000-400 సెం.మీ -1) మరియు చాలా తక్కువ శక్తి పరారుణ (400-10 సెం.మీ -1). అధ్యయనలో ఉన్న పదార్థం యొక్క ప్రాథమిక వైబ్రేషన్ లు మరియు అనుబంధ భ్రమణ-ప్రకంపన నిర్మాణాన్ని మిడ్-ఇన్ఫ్రారెడ్ అనేది ఇస్తుంది. పరారుణ స్పెక్ట్రోస్కోపీ అణువుల ద్వారా పరారుణ వికిరణాన్ని గ్రహింస్తుంది మరియు వాటి క్రియాత్మక సమూహాలను గుర్తించడం ద్వారా అణువు యొక్క నిర్మాణాన్ని విశదీకరించడానికి ఉపయోగిస్తారు.ఈ పద్ధతిని ఉపయోగించే సాధారణ ప్రయోగశాల సాధనాల్లో ఒకటి ఫోరియర్ ట్రాన్స్ఫార్మ్ ఇన్ఫ్రారెడ్ (ఎఫ్ టి ఐ ఆర్) స్పెక్ట్రోమీటర్ 
Picture source: http://www.rediris.ca/infrared.html	చిత్ర మూలం: http://www.rediris.ca/infrared.html 
Theory	సిద్ధాంతం(థియరీ) 
When two atoms combine to form a stable covalent moleculer, there are two repulsion forces acting between the two hetero atoms. One between the positively charged nuclei of both the atoms and the other between the negative electron clouds. The other force is the attraction between the nucleus of one atom with the electons of the other atom. Balancing the forces between them, the two atoms settle at a mean internuclear distance or the bond length where the total energy of the system is minimum. Any change like pulling the atoms away or squeezing them brings change in the bond length which requires an input of energy.	రెండు అణువులు కలిపి స్థిరమైన సమయోజనీయ అణువుగా ఏర్పడినప్పుడు, రెండు హేటెరో అణువుల మధ్య రెండు వికర్షణ శక్తులు పనిచేస్తాయి. ఒకటి అణువుల యొక్క ధనాత్మకంగా చార్జ్ చేయబడిన కేంద్రకాల మధ్య మరియు మరొకటి ప్రతికూల ఎలక్ట్రాన్ క్లౌడ్ మధ్య. మరొక శక్తి ఒక అణువు యొక్క కేంద్రకం మధ్య మరొక అణువు యొక్క ఎలక్ట్రాన్లతో ఆకర్షణ. వాటి మధ్య ఉన్న శక్తులను సమతుల్యం చేస్తూ, రెండు అణువుల సగటు అంతర్గత దూరం లేదా వ్యవస్థ యొక్క మొత్తం శక్తి కనిష్టంగా ఉండే బాండ్ పొడవు వద్ద స్థిరపడుతుంది. అణువులను దూరంగా లాగడం లేదా వాటిని పిండడం వంటి ఏదైనా మార్పు బాండ్ పొడవులో మార్పును తెస్తుంది, దీనికి శక్తిని అందించాలి /దీనికి ఎనర్జీ ఇన్పుట్ అవసరం. 
A diatomic molecule with the above description is considered as two vibrating masses that are connected by a spring. The internuclear distance between the atoms at energy minimum is referred to as the equilibrium distance (re)Any change in this distance is given by Hooke' law as:	పై వర్ణనతో ఒక డయాటోమిక్ అణువు స్ప్రింగ్ ద్వారా అనుసంధానించబడిన రెండు వైబ్రేటింగ్ ద్రవ్యరాశిగా పరిగణించబడుతుంది. శక్తి కనిష్టంలో అణువుల మధ్య అంతర్గత దూరాన్ని సమతౌల్య దూరం (ఆర్ ఇ) గా సూచిస్తారు. ఈ దూరం లో ఏదైనా మార్పు ఉంటే హుక్ చట్టం ప్రకారం ఇలా ఇవ్వబడుతుంది: 
f = -k(r-re)	ఎఫ్= -కె(ఆర్-ఆర్ఇ) [f = -k (r-re)] 
where f is the restoring force and r is the bond length. The energy associated cinsidering the energy curve to be parobolic is given as :	ఇక్కడ ఎఫ్(f) అనేది పునరుద్ధరణ శక్తి(ఫోర్స్) మరియు ఆర్(r) అనేది బంధం పొడవు. శక్తి వక్రతను పరోబోలిక్ అని భావించే శక్తి అనుబంధంగా ఇవ్వబడింది: 
E= 1/2k(r-re)2	ఇ=1/2కె (ఆర్-ఆర్ఇ) [E = 1/2k (r-re) 2] 
