Physical Chemistry Lab	ఫిజికల్ కెమిస్ట్రీ ల్యాబ్
Instrumentation and Working Principles Principles of Mass Spectroscopy	ఇన్స్ట్రుమెంటేషన్ మరియు వర్కింగ్ ప్రిన్సిపల్స్ మాస్ స్పెక్ట్రోస్కోపీ యొక్క సూత్రాలు
Introduction	పరిచయం
Mass spectroscopy is the most accurate analytical tool to weigh the molar masses of a given molecule. The principle consist of ionizing the sample in the gas phase to formed positively charged ion or radical ions and then measure the mass to charge ratio of all ions. It is largely used in industry and academia and finds application in chemistry, Biotechnology, pharmaceutical, environmental, Clinical, Geological fields. Different methods use different techniques for ionisation which intern determines what types of samples can be analyzed by mass spectrometry. Of all available methods Electron Ionisation or Impact mass spectroscopy is the most widely used.	మాస్ స్పెక్ట్రోస్కోపీ అనేది ఇచ్చిన అణువు యొక్క మోలార్ ద్రవ్యరాశిని తూకం చేయడానికి అత్యంత ఖచ్చితమైన విశ్లేషణాత్మక సాధనం. ధనాత్మక చార్జ్డ్ అయాన్ లేదా రాడికల్ అయాన్లను ఏర్పరచటానికి గ్యాస్ దశలో నమూనాను అయనీకరణం చేసి, ఆపై అన్ని అయాన్ల నిష్పత్తిని వసూలు చేయడానికి ద్రవ్యరాశిని కొలుస్తుంది. ఇది ఎక్కువగా పరిశ్రమ మరియు అకాడెమియాలో ఉపయోగించబడుతుంది మరియు కెమిస్ట్రీ, బయోటెక్నాలజీ, ఫార్మాస్యూటికల్, ఎన్విరాన్మెంటల్, క్లినికల్, జియోలాజికల్ రంగాలలో అనువర్తనాన్ని కనుగొంటుంది. మాస్ స్పెక్ట్రోమెట్రీ ద్వారా ఏ రకమైన నమూనాలను విశ్లేషించవచ్చో ఇంటర్న్ నిర్ణయిస్తుంది. అందుబాటులో ఉన్న అన్ని పద్ధతులలో ఎలక్ట్రాన్ అయోనైజేషన్ లేదా ఇంపాక్ట్ మాస్ స్పెక్ట్రోస్కోపీ ఎక్కువగా ఉపయోగించబడుతుంది.
Theory	థియరీ
The magnetic sector mass analysis: The kinetic energy of an accelarated ion imparted by the voltage V is:	అయస్కాంత రంగ ద్రవ్యరాశి విశ్లేషణ: వోల్టేజ్ V చేత ఇవ్వబడిన ఒక అయాన్ యొక్క గతి శక్తి:
where m is the mass of the ion, v is its velocity and z is the charge. When the ions pass through the two poles of a magent, the charged particles take a curve path. The radius of curvature (r) of this path is:	ఇక్కడ m అనేది అయాన్ యొక్క ద్రవ్యరాశి, v దాని వేగం మరియు z చార్జ్. అయాన్లు ఒక మాజెంట్ యొక్క రెండు ధ్రువాల గుండా వెళుతున్నప్పుడు, చార్జ్డ్ కణాలు ఒక వక్ర మార్గాన్ని తీసుకుంటాయి. ఈ మార్గం యొక్క వక్రత (r) యొక్క వ్యాసార్థం:
where B is the magnetic field strength.	ఇక్కడ B అనేది అయస్కాంత క్షేత్ర బలం.
Combining the above two equations:	పై రెండు సమీకరణాలను కలపడం:
Greater the value of m/z value larger is the radius of the curved path. The analyser tube has a fixed radius of curvature and the magnetic field strength is varied such that all the ions reach the detector.	M / z విలువ యొక్క పెద్ద విలువ వక్ర మార్గం యొక్క వ్యాసార్థం. ఎనలైజర్ ట్యూబ్‌లో వక్రత యొక్క స్థిర వ్యాసార్థం ఉంటుంది మరియు అయస్కాంత క్షేత్ర బలం వైవిధ్యంగా ఉంటుంది, అంటే అన్ని అయాన్లు డిటెక్టర్‌కు చేరుతాయి.
The mass spectrometer consist of five important componenets:	మాస్ స్పెక్ట్రోమీటర్ ఐదు ముఖ్యమైన నిష్పత్తిని కలిగి ఉంటుంది:
a. Sample inlet: Here the sample under study is introduced into the chamber and the pressure inside the sample inlet is much lower than the outside pressure. A stream of molecules is produced here.	ఒక. నమూనా ఇన్లెట్: ఇక్కడ అధ్యయనం కింద ఉన్న నమూనాను గదిలోకి ప్రవేశపెడతారు మరియు నమూనా ఇన్లెట్ లోపల ఒత్తిడి బయటి పీడనం కంటే చాలా తక్కువగా ఉంటుంది. అణువుల ప్రవాహం ఇక్కడ ఉత్పత్తి అవుతుంది.
