Physical Chemistry Lab	ఫిజికల్ కెమిస్ట్రీ ల్యాబ్
Simple Pendulum	సాధారణ లోలకం
Introduction	పరిచయం
In this module, basic concepts of simple oscillator are explained. Initially, an example of simple pendulum is taken and the basic terminology i.e., what is initial displacement, initial velocity,natural frequency and time period are explained. Each of these terms is illustrated by giving an example, where user can enter his value and observe the behavior of structure for his input.	ఈ మాడ్యూల్‌లో, సాధారణ ఓసిలేటర్ యొక్క ప్రాథమిక అంశాలు వివరించబడ్డాయి. ప్రారంభంలో, సాధారణ లోలకం యొక్క ఉదాహరణ తీసుకోబడుతుంది మరియు ప్రాథమిక పరిభాష అనగా, ప్రారంభ స్థానభ్రంశం, ప్రారంభ వేగం, సహజ పౌన frequency పున్యం మరియు కాల వ్యవధి ఏమిటి. ఈ నిబంధనలు ప్రతి ఒక్కటి ఒక ఉదాహరణ ఇవ్వడం ద్వారా వివరించబడతాయి, ఇక్కడ వినియోగదారు తన విలువను నమోదు చేయవచ్చు మరియు అతని ఇన్పుట్ కోసం నిర్మాణం యొక్క ప్రవర్తనను గమనించవచ్చు.
Simple harmonic oscillator consists of a mass (m) hanging from a string of length (l), fixed at a pivot point P. When the mass is displaced from its mean position by giving some initial displacement (angle), oscillator starts swinging back and fourth with periodic motion.	సింపుల్ హార్మోనిక్ ఓసిలేటర్ ఒక పివట్ పాయింట్ వద్ద స్థిరపడిన పొడవు (ఎల్) యొక్క స్ట్రింగ్ నుండి వేలాడుతున్న ద్రవ్యరాశిని కలిగి ఉంటుంది. పి. కొంత ప్రారంభ స్థానభ్రంశం (కోణం) ఇవ్వడం ద్వారా ద్రవ్యరాశి దాని సగటు స్థానం నుండి స్థానభ్రంశం అయినప్పుడు, ఓసిలేటర్ వెనుకకు ing పుతుంది మరియు ఆవర్తన కదలికతో నాల్గవది.
Theory	థియరీ
There are two solutions to \(ax^2 + bx + c = 0\) and they are $$x = {-b \pm \sqrt{b^2-4ac} \over 2a}.$$ By applying Newton's second law for rotational systems, the equation of motion for the pendulum may be obtained.	\ (గొడ్డలి ^ 2 + bx + c = 0 \) కు రెండు పరిష్కారాలు ఉన్నాయి మరియు అవి $$ x = {-b \ pm \ sqrt {b ^ 2-4ac} \ 2a over కంటే ఎక్కువ. New న్యూటన్ యొక్క రెండవదాన్ని వర్తింపజేయడం ద్వారా భ్రమణ వ్యవస్థల కోసం చట్టం, లోలకం కోసం చలన సమీకరణం పొందవచ్చు.
Where, τ = Torque ; I = Moment of Inertia; α = Angular Velocity. m is mass of the oscillator, l is the length of the oscillator and theta is initial displacement. The above equation can be rearranged as	ఎక్కడ, τ = టార్క్; నేను = జడత్వం యొక్క క్షణం; α = కోణీయ వేగం. m అనేది ఓసిలేటర్ యొక్క ద్రవ్యరాశి, l అనేది ఓసిలేటర్ యొక్క పొడవు మరియు తీటా ప్రారంభ స్థానభ్రంశం. పై సమీకరణాన్ని ఇలా మార్చవచ్చు
If the amplitude of angular displacement is small then we can use the approximation (sinθ ≈ θ). By considering the above approximation, the equation of motion reduces to :	కోణీయ స్థానభ్రంశం యొక్క వ్యాప్తి చిన్నది అయితే, మనం ఉజ్జాయింపును (sinθ ≈ use) ఉపయోగించవచ్చు. పై ఉజ్జాయింపును పరిగణనలోకి తీసుకోవడం ద్వారా, చలన సమీకరణం వీటిని తగ్గిస్తుంది:
The solution for equation of simple harmonic oscillator is	సాధారణ హార్మోనిక్ ఓసిలేటర్ యొక్క సమీకరణానికి పరిష్కారం
where, θ(t) is the history of oscillation, θ0 is the initial angle, ω=(g/l)1/2 is the natural frequency of the motion.	ఇక్కడ, θ (t) అనేది డోలనం యొక్క చరిత్ర, θ0 ప్రారంభ కోణం, ω = (g / l) 1/2 అనేది కదలిక యొక్క సహజ పౌన frequency పున్యం.
